Time,x_d,y_d,theta_d,v_r_d,v_l_d
8.457048,0.489989,-0.36719,-1.822482,0.023306,0.14414
8.507089,0.488919,-0.371257,-1.833799,0.024889,0.143773
8.557131,0.487795,-0.37534,-1.844932,0.026475,0.14342
8.607173,0.486617,-0.379441,-1.855883,0.028062,0.143079
8.657214,0.485386,-0.383559,-1.866652,0.029651,0.142753
8.707256,0.484102,-0.387694,-1.877241,0.031238,0.14244
8.757298,0.482765,-0.391845,-1.887651,0.032825,0.142142
8.807339,0.481374,-0.396013,-1.897885,0.034409,0.141859
8.857381,0.479931,-0.400198,-1.907942,0.03599,0.14159
8.907423,0.478435,-0.404399,-1.917826,0.037567,0.141337
8.957465,0.476886,-0.408617,-1.927539,0.039139,0.141099
9.007506,0.475285,-0.412851,-1.937081,0.040707,0.140875
9.057548,0.473632,-0.417101,-1.946455,0.042268,0.140667
9.10759,0.471926,-0.421367,-1.955663,0.043823,0.140475
9.157631,0.470169,-0.425649,-1.964707,0.045371,0.140297
9.207673,0.46836,-0.429946,-1.973589,0.046912,0.140134
9.257715,0.4665,-0.43426,-1.982311,0.048445,0.139987
9.307756,0.464589,-0.438589,-1.990876,0.049969,0.139854
9.357798,0.462626,-0.442933,-1.999286,0.051484,0.139736
9.40784,0.460613,-0.447292,-2.007542,0.052991,0.139632
9.457882,0.458549,-0.451667,-2.015647,0.054488,0.139542
9.507923,0.456435,-0.456057,-2.023604,0.055975,0.139467
9.557965,0.45427,-0.460462,-2.031414,0.057452,0.139405
9.608007,0.452056,-0.464881,-2.039081,0.058919,0.139356
9.658048,0.449792,-0.469316,-2.046605,0.060375,0.139321
9.70809,0.447479,-0.473764,-2.053989,0.061821,0.139299
9.758132,0.445116,-0.478228,-2.061236,0.063256,0.139289
9.808173,0.442705,-0.482705,-2.068348,0.064679,0.139291
9.858215,0.440245,-0.487197,-2.075326,0.066092,0.139306
9.908257,0.437736,-0.491703,-2.082174,0.067493,0.139332
9.958299,0.43518,-0.496223,-2.088893,0.068882,0.139369
10.00834,0.432575,-0.500757,-2.095485,0.07026,0.139417
10.058382,0.429924,-0.505304,-2.101953,0.071626,0.139476
10.108424,0.427224,-0.509865,-2.108298,0.072981,0.139544
10.158465,0.424479,-0.514439,-2.114523,0.074323,0.139623
10.208507,0.421686,-0.519027,-2.12063,0.075654,0.139711
10.258549,0.418847,-0.523628,-2.12662,0.076973,0.139809
10.30859,0.415962,-0.528242,-2.132496,0.07828,0.139914
10.358632,0.413032,-0.532869,-2.13826,0.079574,0.140029
10.408674,0.410056,-0.537509,-2.143913,0.080857,0.140151
10.458716,0.407035,-0.542162,-2.149457,0.082127,0.140281
10.508757,0.403969,-0.546827,-2.154895,0.083385,0.140418
10.558799,0.400859,-0.551504,-2.160228,0.084631,0.140563
10.608841,0.397705,-0.556194,-2.165458,0.085865,0.140713
10.658882,0.394507,-0.560896,-2.170586,0.087087,0.14087
10.708924,0.391266,-0.56561,-2.175615,0.088296,0.141033
10.758966,0.387981,-0.570337,-2.180545,0.089493,0.141201
10.809008,0.384655,-0.575074,-2.185379,0.090678,0.141375
10.859049,0.381286,-0.579824,-2.190119,0.091851,0.141553
10.909091,0.377875,-0.584585,-2.194766,0.093012,0.141736
10.959133,0.374422,-0.589357,-2.199321,0.09416,0.141923
11.009174,0.370929,-0.594141,-2.203785,0.095296,0.142113
11.059216,0.367395,-0.598936,-2.208162,0.09642,0.142307
11.109258,0.36382,-0.603742,-2.212451,0.097532,0.142504
